Year,City,Population (in Lakhs) (2011)+,Murder,Kidnapping,Crime against women,Crime against children,Crime Committed by Juveniles,Crime against Senior Citizen,Crime against SC,Crime against ST,Economic Offences,Cyber Crimes,Total_Crime,Crime_Rate,Prev_Year_Crime_Rate,,,,,,,,,,
2014,Ahmedabad,63.52,82,367,1371,437,215,68,66,6,399,32,3043.00,0.000479062,NULL,,,,,,,,,,
2015,Ahmedabad,63.52,94,332,1067,609,157,17,60,9,378,28,2751.00,0.000433092,0.000479062,,,,,,,,,,
2016,Ahmedabad,63.52,103,376,1126,481,258,362,96,10,479,77,3368.00,0.000530227,0.000433092,,,,,,,,,,
2017,Ahmedabad,63.52,90,263,1405,600,405,534,119,6,608,112,4142.00,0.000652078,0.000530227,,,,,,,,,,
2018,Ahmedabad,63.52,98,277,1416,733,352,733,145,9,842,212,4817.00,0.000758344,0.000652078,,,,,,,,,,
2019,Ahmedabad,63.52,81,248,1633,771,298,794,161,10,860,171,5027.00,0.000791404,0.000758344,,,,,,,,,,
2020,Ahmedabad,63.52,70,181,1524,603,483,709,136,9,734,421,4870.00,0.000766688,0.000791404,,,,,,,,,,
2021,Ahmedabad,63.52,97,183,1554,691,386,244,168,17,765,447,4552.00,0.000716625,0.000766688,,,,,,,,,,
2022,Ahmedabad,63.52,100,263,1452,829,433,238,189,18,591,216,4329.00,0.000681518,0.000716625,,,,,,,,,,
2023,Ahmedabad,63.52,109,296,1360,832,417,184,177,18,646,246,4285.00,0.000674591,0.000681518,,,,,,,,,,
2024,Ahmedabad,63.52,90,206,1059,942,295,98,126,12,806,396,4030.00,0.000634446,0.000674591,,,,,,,,,,
2014,Bengaluru,85.99,241,708,3100,1063,107,89,159,8,3224,675,9374.00,0.001090127,NULL,,,,,,,,,,
2015,Bengaluru,85.99,235,777,3109,1086,128,100,140,9,3519,1042,10145.00,0.001179788,0.001090127,,,,,,,,,,
2016,Bengaluru,85.99,229,974,3412,1333,205,156,207,10,3505,762,10793.00,0.001255146,0.001179788,,,,,,,,,,
2017,Bengaluru,85.99,235,1050,3565,1582,215,184,209,9,3463,2743,13255.00,0.001541458,0.001255146,,,,,,,,,,
2018,Bengaluru,85.99,218,1090,3427,1815,219,269,141,14,3241,5253,15687.00,0.001824282,0.001541458,,,,,,,,,,
2019,Bengaluru,85.99,204,1053,3486,1488,162,209,166,12,2850,10555,20185.00,0.002347366,0.001824282,,,,,,,,,,
2020,Bengaluru,85.99,179,712,2730,1103,171,210,133,13,2085,8892,16228.00,0.001887196,0.002347366,,,,,,,,,,
2021,Bengaluru,85.99,155,811,3127,1342,177,237,166,12,2715,6423,15165.00,0.001763577,0.001887196,,,,,,,,,,
2022,Bengaluru,85.99,173,946,3924,1578,200,458,231,16,3245,9940,20711.00,0.002408536,0.001763577,,,,,,,,,,
2023,Bengaluru,85.99,206,1158,4870,1982,427,649,285,16,3858,17631,31082.00,0.003614606,0.002408536,,,,,,,,,,
2024,Bengaluru,85.99,176,1215,4748,2026,386,442,280,23,3477,17561,30334.00,0.003527619,0.003614606,,,,,,,,,,
2014,Chennai,86.96,161,36,906,205,263,221,16,0,700,34,2542.00,0.000292318,NULL,,,,,,,,,,
2015,Chennai,86.96,149,37,533,194,270,203,13,0,558,29,1986.00,0.000228381,0.000292318,,,,,,,,,,
2016,Chennai,86.96,133,34,544,230,391,210,10,0,426,26,2004.00,0.000230451,0.000228381,,,,,,,,,,
2017,Chennai,86.96,154,54,642,249,573,484,14,0,663,52,2885.00,0.000331762,0.000230451,,,,,,,,,,
2018,Chennai,86.96,172,56,761,775,502,495,5,1,1050,73,3890.00,0.000447332,0.000331762,,,,,,,,,,
2019,Chennai,86.96,172,49,723,731,647,552,8,0,811,118,3811.00,0.000438247,0.000447332,,,,,,,,,,
2020,Chennai,86.96,150,37,576,306,773,321,12,0,696,186,3057.00,0.000351541,0.000438247,,,,,,,,,,
2021,Chennai,86.96,161,71,874,546,496,423,23,0,840,76,3510.00,0.000403634,0.000351541,,,,,,,,,,
2022,Chennai,86.96,101,31,736,514,521,391,25,0,1038,271,3628.00,0.000417203,0.000403634,,,,,,,,,,
2023,Chennai,86.96,105,27,745,573,523,399,24,0,2155,1352,5903.00,0.000678818,0.000417203,,,,,,,,,,
2024,Chennai,86.96,105,26,1093,719,466,124,34,0,2436,1882,6885.00,0.000791743,0.000678818,,,,,,,,,,
2014,Coimbatore,21.51,21,14,105,22,2,13,9,0,188,20,394.00,0.000183171,NULL,,,,,,,,,,
2015,Coimbatore,21.51,25,10,109,38,54,52,3,0,171,20,482.00,0.000224082,0.000183171,,,,,,,,,,
2016,Coimbatore,21.51,27,8,102,69,19,233,3,0,118,18,597.00,0.000277545,0.000224082,,,,,,,,,,
2017,Coimbatore,21.51,21,5,76,32,34,113,1,0,145,19,446.00,0.000207345,0.000277545,,,,,,,,,,
2018,Coimbatore,21.51,31,10,107,39,62,100,1,0,106,15,471.00,0.000218968,0.000207345,,,,,,,,,,
2019,Coimbatore,21.51,39,7,85,45,30,66,0,0,108,8,388.00,0.000180381,0.000218968,,,,,,,,,,
2020,Coimbatore,21.51,31,4,97,111,27,32,3,0,92,4,401.00,0.000186425,0.000180381,,,,,,,,,,
2021,Coimbatore,21.51,30,11,190,106,19,45,18,0,182,44,645.00,0.000299861,0.000186425,,,,,,,,,,
2022,Coimbatore,21.51,31,9,138,83,47,6,21,1,261,68,665.00,0.000309159,0.000299861,,,,,,,,,,
2023,Coimbatore,21.51,22,16,244,193,26,24,8,0,499,207,1239.00,0.000576011,0.000309159,,,,,,,,,,
2024,Coimbatore,21.51,25,10,377,243,32,29,18,0,660,300,1694.00,0.000787541,0.000576011,,,,,,,,,,
2014,Delhi,163.15,472,6016,13260,8139,1671,875,70,2,5138,224,35867.00,0.002198406,NULL,,,,,,,,,,
2015,Delhi,163.15,480,6630,13502,8035,1981,1176,33,4,6396,169,38406.00,0.00235403,0.002198406,,,,,,,,,,
2016,Delhi,163.15,479,5925,13803,7392,2368,642,46,2,5942,90,36689.00,0.002248789,0.00235403,,,,,,,,,,
2017,Delhi,163.15,400,5203,11542,6844,2677,736,34,4,4808,143,32391.00,0.001985351,0.002248789,,,,,,,,,,
2018,Delhi,163.15,416,5124,11724,6853,2388,770,26,0,4469,163,31933.00,0.001957279,0.001985351,,,,,,,,,,
2019,Delhi,163.15,505,5746,12902,7565,2760,1076,69,2,4817,107,35549.00,0.002178915,0.001957279,,,,,,,,,,
2020,Delhi,163.15,461,4011,9782,5256,2436,906,66,1,4445,166,27530.00,0.001687404,0.002178915,,,,,,,,,,
2021,Delhi,163.15,454,5475,13982,7029,2618,1166,130,5,5102,345,36306.00,0.002225314,0.001687404,,,,,,,,,,
2022,Delhi,163.15,501,5585,14158,7400,2336,1313,129,0,5007,685,37114.00,0.002274839,0.002225314,,,,,,,,,,
2023,Delhi,163.15,503,5681,13366,7731,2278,1361,126,2,4580,407,36035.00,0.002208704,0.002274839,,,,,,,,,,
2024,Delhi,163.15,504,5580,13396,7662,2306,779,133,4,4524,404,35292.00,0.002163163,0.002208704,,,,,,,,,,
2014,Ghaziabad,23.59,73,276,1027,191,25,7,38,0,455,61,2153.00,0.000912675,NULL,,,,,,,,,,
2015,Ghaziabad,23.59,65,315,904,180,15,4,39,0,433,25,1980.00,0.000839339,0.000912675,,,,,,,,,,
2016,Ghaziabad,23.59,59,368,1031,130,7,0,64,0,439,62,2160.00,0.000915642,0.000839339,,,,,,,,,,
2017,Ghaziabad,23.59,52,532,1166,42,20,1,40,0,473,118,2444.00,0.001036032,0.000915642,,,,,,,,,,
2018,Ghaziabad,23.59,52,547,1128,85,0,1,41,0,552,191,2597.00,0.00110089,0.001036032,,,,,,,,,,
2019,Ghaziabad,23.59,48,408,793,501,0,0,42,0,378,347,2517.00,0.001066978,0.00110089,,,,,,,,,,
2020,Ghaziabad,23.59,23,78,341,140,0,0,22,0,567,756,1927.00,0.000816872,0.001066978,,,,,,,,,,
2021,Ghaziabad,23.59,25,50,591,136,0,0,42,0,595,451,1890.00,0.000801187,0.000816872,,,,,,,,,,
2022,Ghaziabad,23.59,61,55,1063,189,0,0,72,0,1024,626,3090.00,0.001309877,0.000801187,,,,,,,,,,
2023,Ghaziabad,23.59,45,33,904,208,0,0,63,0,1004,880,3137.00,0.001329801,0.001309877,,,,,,,,,,
2024,Ghaziabad,23.59,53,468,1265,713,0,0,52,0,775,479,3805.00,0.001612972,0.001329801,,,,,,,,,,
2014,Hyderabad,77.49,118,374,2128,463,216,82,160,19,2734,386,6680.00,0.000862047,NULL,,,,,,,,,,
2015,Hyderabad,77.49,95,332,2450,486,95,48,116,21,2326,369,6338.00,0.000817912,0.000862047,,,,,,,,,,
2016,Hyderabad,77.49,86,359,2419,410,121,40,139,21,2239,291,6125.00,0.000790425,0.000817912,,,,,,,,,,
2017,Hyderabad,77.49,64,341,2272,385,244,14,78,18,2037,328,5781.00,0.000746032,0.000790425,,,,,,,,,,
2018,Hyderabad,77.49,81,411,2332,491,363,29,123,25,1788,428,6071.00,0.000783456,0.000746032,,,,,,,,,,
2019,Hyderabad,77.49,86,519,2755,506,350,193,117,16,1895,1379,7816.00,0.001008646,0.000783456,,,,,,,,,,
2020,Hyderabad,77.49,71,451,2390,467,172,170,127,26,3427,2553,9854.00,0.001271648,0.001008646,,,,,,,,,,
2021,Hyderabad,77.49,98,513,3050,621,197,314,104,28,4860,3303,13088.00,0.001688992,0.001271648,,,,,,,,,,
2022,Hyderabad,77.49,79,609,3145,645,300,331,113,31,6015,4436,15704.00,0.002026584,0.001688992,,,,,,,,,,
2023,Hyderabad,77.49,94,592,3822,692,180,292,134,30,5428,4855,16119.00,0.002080139,0.002026584,,,,,,,,,,
2024,Hyderabad,77.49,89,638,3255,920,316,0,153,30,5839,4009,15249.00,0.001967867,0.002080139,,,,,,,,,,
2014,Indore,21.67,88,439,941,730,352,74,60,8,238,63,2993.00,0.001381172,NULL,,,,,,,,,,
2015,Indore,21.67,61,453,929,478,505,67,55,7,205,65,2825.00,0.001303646,0.001381172,,,,,,,,,,
2016,Indore,21.67,58,383,1055,631,404,58,36,6,319,21,2971.00,0.00137102,0.001303646,,,,,,,,,,
2017,Indore,21.67,64,669,1349,782,300,69,35,7,264,32,3571.00,0.0016479,0.00137102,,,,,,,,,,
2018,Indore,21.67,57,523,1593,962,368,114,38,7,268,39,3969.00,0.001831564,0.0016479,,,,,,,,,,
2019,Indore,21.67,57,585,1755,967,355,100,34,9,454,41,4357.00,0.002010614,0.001831564,,,,,,,,,,
2020,Indore,21.67,63,466,1346,767,281,95,40,12,273,46,3389.00,0.001563913,0.002010614,,,,,,,,,,
2021,Indore,21.67,54,694,1794,1081,207,124,52,13,395,37,4451.00,0.002053992,0.001563913,,,,,,,,,,
2022,Indore,21.67,72,674,1809,1082,211,207,47,9,562,47,4720.00,0.002178126,0.002053992,,,,,,,,,,
2023,Indore,21.67,51,715,1919,1236,141,273,46,16,553,86,5036.00,0.00232395,0.002178126,,,,,,,,,,
2024,Indore,21.67,62,716,1884,1157,173,74,28,7,295,57,4453.00,0.002054915,0.00232395,,,,,,,,,,
2014,Jaipur,30.73,108,653,2428,646,358,117,297,65,4961,374,10007.00,0.003256427,NULL,,,,,,,,,,
2015,Jaipur,30.73,90,630,2201,747,270,118,297,85,5613,563,10614.00,0.003453954,0.003256427,,,,,,,,,,
2016,Jaipur,30.73,97,569,2090,699,255,108,219,88,4742,532,9399.00,0.003058575,0.003453954,,,,,,,,,,
2017,Jaipur,30.73,90,520,1857,679,273,26,84,46,4318,685,8578.00,0.002791409,0.003058575,,,,,,,,,,
2018,Jaipur,30.73,96,537,2030,615,308,17,180,76,4385,415,8659.00,0.002817768,0.002791409,,,,,,,,,,
2019,Jaipur,30.73,93,829,3417,910,332,24,343,168,6107,544,12767.00,0.004154572,0.002817768,,,,,,,,,,
2020,Jaipur,30.73,95,532,2369,691,196,157,235,134,3217,192,7818.00,0.002544094,0.004154572,,,,,,,,,,
2021,Jaipur,30.73,118,613,2827,728,222,123,361,155,4275,254,9676.00,0.003148715,0.002544094,,,,,,,,,,
2022,Jaipur,30.73,132,787,3479,980,205,83,381,214,5332,310,11903.00,0.003873414,0.003148715,,,,,,,,,,
2023,Jaipur,30.73,129,927,3872,1099,192,185,489,228,5304,551,12976.00,0.004222584,0.003873414,,,,,,,,,,
2024,Jaipur,30.73,99,969,2894,863,225,49,396,228,5471,197,11391.00,0.003706801,0.004222584,,,,,,,,,,
2014,Kanpur,29.20,56,233,859,147,131,0,146,0,468,44,2084.00,0.000713699,NULL,,,,,,,,,,
2015,Kanpur,29.20,59,259,817,150,8,0,94,0,428,338,2153.00,0.000737329,0.000713699,,,,,,,,,,
2016,Kanpur,29.20,69,409,1050,189,14,0,107,0,551,136,2525.00,0.000864726,0.000737329,,,,,,,,,,
2017,Kanpur,29.20,51,541,1574,303,9,0,137,0,765,229,3609.00,0.001235959,0.000864726,,,,,,,,,,
2018,Kanpur,29.20,51,541,1574,303,9,0,137,0,765,229,3609.00,0.001235959,0.001235959,,,,,,,,,,
2019,Kanpur,29.20,53,292,1315,276,10,0,169,0,437,365,2917.00,0.000998973,0.001235959,,,,,,,,,,
2020,Kanpur,29.20,41,223,1056,205,15,0,163,0,281,300,2284.00,0.000782192,0.000998973,,,,,,,,,,
2021,Kanpur,29.20,48,152,894,196,12,0,165,0,433,449,2349.00,0.000804452,0.000782192,,,,,,,,,,
2022,Kanpur,29.20,81,341,2099,437,32,0,376,0,595,541,4502.00,0.001541781,0.000804452,,,,,,,,,,
2023,Kanpur,29.20,97,373,2071,426,37,0,263,0,629,481,4377.00,0.001498973,0.001541781,,,,,,,,,,
2024,Kanpur,29.20,93,358,1950,379,37,0,271,0,463,449,4000.00,0.001369863,0.001498973,,,,,,,,,,
2014,Kochi,21.18,13,4,464,75,35,3,26,2,768,63,1453.00,0.000686025,NULL,,,,,,,,,,
2015,Kochi,21.18,12,13,408,76,42,9,20,1,598,26,1205.00,0.000568933,0.000686025,,,,,,,,,,
2016,Kochi,21.18,10,14,392,86,58,13,35,2,577,33,1220.00,0.000576015,0.000568933,,,,,,,,,,
2017,Kochi,21.18,11,19,535,138,52,27,21,0,377,39,1219.00,0.000575543,0.000576015,,,,,,,,,,
2018,Kochi,21.18,12,11,537,139,12,34,20,0,461,48,1274.00,0.000601511,0.000575543,,,,,,,,,,
2019,Kochi,21.18,22,21,492,176,10,11,16,2,469,43,1262.00,0.000595845,0.000601511,,,,,,,,,,
2020,Kochi,21.18,9,15,403,126,20,67,19,2,481,62,1204.00,0.000568461,0.000595845,,,,,,,,,,
2021,Kochi,21.18,10,13,531,138,22,28,13,2,434,62,1253.00,0.000591596,0.000568461,,,,,,,,,,
2022,Kochi,21.18,16,19,754,206,29,74,22,5,445,96,1666.00,0.000786591,0.000591596,,,,,,,,,,
2023,Kochi,21.18,12,14,783,230,38,126,43,3,869,112,2230.00,0.00105288,0.000786591,,,,,,,,,,
2024,Kochi,21.18,17,18,783,267,26,150,42,8,1050,201,2562.00,0.001209632,0.00105288,,,,,,,,,,
2014,Kolkata,141.13,74,343,2353,352,66,16,9,0,2276,98,5587.00,0.000395876,NULL,,,,,,,,,,
2015,Kolkata,141.13,65,312,1927,381,52,23,10,2,2171,111,5054.00,0.00035811,0.000395876,,,,,,,,,,
2016,Kolkata,141.13,78,290,1693,317,19,26,9,2,2155,168,4757.00,0.000337065,0.00035811,,,,,,,,,,
2017,Kolkata,141.13,64,374,1975,643,35,36,14,0,2198,196,5535.00,0.000392192,0.000337065,,,,,,,,,,
2018,Kolkata,141.13,55,378,2176,574,23,44,14,3,2729,32,6028.00,0.000427124,0.000392192,,,,,,,,,,
2019,Kolkata,141.13,50,220,1474,282,36,14,11,5,2327,160,4579.00,0.000324453,0.000427124,,,,,,,,,,
2020,Kolkata,141.13,53,308,2001,486,97,20,18,2,1817,172,4974.00,0.000352441,0.000324453,,,,,,,,,,
2021,Kolkata,141.13,45,346,1783,497,25,2,18,0,2077,220,5013.00,0.000355204,0.000352441,,,,,,,,,,
2022,Kolkata,141.13,34,452,1890,602,9,2,10,2,2013,75,5089.00,0.00036059,0.000355204,,,,,,,,,,
2023,Kolkata,141.13,43,281,1746,297,115,6,10,2,1544,21,4065.00,0.000288032,0.00036059,,,,,,,,,,
2024,Kolkata,141.13,57,484,1958,468,20,2,7,0,1825,21,4842.00,0.000343088,0.000288032,,,,,,,,,,
2014,Kozhikode,20.31,8,2,343,68,48,20,18,1,305,21,834.00,0.000410635,NULL,,,,,,,,,,
2015,Kozhikode,20.31,4,10,363,88,78,20,26,0,263,10,862.00,0.000424421,0.000410635,,,,,,,,,,
2016,Kozhikode,20.31,3,7,352,92,62,15,29,0,142,16,718.00,0.00035352,0.000424421,,,,,,,,,,
2017,Kozhikode,20.31,7,13,347,132,38,9,31,0,167,12,756.00,0.00037223,0.00035352,,,,,,,,,,
2018,Kozhikode,20.31,8,19,349,157,26,37,26,1,134,27,784.00,0.000386017,0.00037223,,,,,,,,,,
2019,Kozhikode,20.31,7,27,473,199,22,27,24,0,174,15,968.00,0.000476613,0.000386017,,,,,,,,,,
2020,Kozhikode,20.31,5,12,394,137,8,113,20,0,300,12,1001.00,0.000492861,0.000476613,,,,,,,,,,
2021,Kozhikode,20.31,5,21,632,162,22,53,31,1,311,37,1275.00,0.00062777,0.000492861,,,,,,,,,,
2022,Kozhikode,20.31,7,45,759,265,26,52,27,3,191,45,1420.00,0.000699163,0.00062777,,,,,,,,,,
2023,Kozhikode,20.31,6,27,627,250,44,93,30,2,422,114,1615.00,0.000795175,0.000699163,,,,,,,,,,
2024,Kozhikode,20.31,11,12,665,245,52,54,23,2,469,106,1639.00,0.000806992,0.000795175,,,,,,,,,,
2014,Lucknow,29.01,107,348,1260,146,0,5,61,0,1351,205,3483.00,0.00120062,NULL,,,,,,,,,,
2015,Lucknow,29.01,99,285,1461,140,22,2,146,0,1222,329,3706.00,0.001277491,0.00120062,,,,,,,,,,
